ITEM_NO,DESCR,STK_UNIT,BARCOD,LOC_ID
10061,Syringa meyeri Palibin,15 gal,41014,101
10064,Acer p. v. d. Tamukeyama,"10 GAL 30/36""",41016,101
,Acer p. v. d. Tamukeyama,"10 GAL 30/36""",41020,101
,Juniperus c. Blue Point,7 gal,41025,101
,Pinus t. Thunderhead,7 gal,41032,101
,Acer p. v. d. Tamukeyama,6/7' stnd,41036,101
,Cornus fl. Appalachian Snow,"2/2.5""",41045,101
,Magnolia x Judy Zuk,"2.5/3""",41066,101
,Viburnum pl. f. tom. Mariesii,5/6',41080,101
,Vaccinium corymbosum Chandler,6gal,41109,101
10065,Helleborus HGC® Ice N Roses® P,1 GAL,41114,101
10066,Helleborus HGC® Ice N Roses® W,1 GAL,41115,101
10067,Helleborus HGC®  Pink Frost,1 GAL,41116,101
,Achillea m. Strawberry Seduct.,1 GAL,41140,101
,Astilbe x Younique White,1 GAL,41144,101
,Coreopsis grand. Early Sunrise,1 GAL,41145,101
,Eutrochium fistulosum JoJo,2 GAL,41150,101
,Fern-Athyrium n. Crested Surf,1 GAL,41152,101
,Galium odoratum,1 GAL,41155,101
,GR-Pennisetum a. Hameln,1 GAL,41158,101
,Hosta Seasons in the Sun,2 GAL,41162,101
,Leucanthemum Spun Silk PW,1 GAL,41163,101
49,Betula n. Heritage,12/14',41167,101
,Veronica s. Magic Show® Wiz PW,1 GAL,41177,101
10068,Tarp - 12' x 16',12' X 16',41184,101
10073,Prunus x  Accolade,"4.5/5""",41192,101
10074,Acer saccharum Commemoration®,"2/2.5""",41193,101
5483,12015 Delivery Fee,EACH,41194,101
5491,Platanus Exclamation!™,"2.5""",41195,101
5492,Platanus Exclamation!™,"3.5""",41196,101
5500,Chelone l.Tiny Tortuga,1 GAL,41197,101
10006,Ilex m. Blue Prince,"5 GAL 18/24""",41198,101
6274,12018 Delivery Fee,EACH,41199,101
6275,12140 Delivery Fee,EACH,41200,101
6276,12168 Delivery Fee,EACH,41201,101
6277,12169 Delivery Fee,EACH,41202,101
6278,12198 Delivery Fee,EACH,41203,101
6279,12521 Delivery Fee,EACH,41204,101
6280,12529 Delivery Fee,EACH,41205,101
6281,12541 Delivery Fee,EACH,41206,101
6288,M-Pro-Mix Premium Potting Mix,2 CU.FT.,41210,101
6290,Lavandula a. Munstead,"6""",41212,101
632,Edging Deco - Bronze,8',41227,101
6330,Anemone Curtain Call Rose,1 GAL,41233,101
6332,Sedum x Rock N' Round® Pure PW,1 GAL,41235,101
6862,Amelanchier x. lamarckii,8/10',41250,101
6074,Amelanchier x. lamarckii,7/8',41251,101
10075,Acer x. freemanii Bailston,"2.5/3""",41252,101
5007,Platanus Exclamation!™,2/2.5'',41253,101
7426,Platanus Exclamation!™,2.5/3'',41254,101
6476,Acer r. Magnificent Magenta,2.5/3'',41255,101
7441,Pyrus cal. Chanticleer pear,2/2.5'',41256,101
2367,Quercus coccinea,2/2.5'',41257,101
244,Acer r. Franksred,2.5/3'',41259,101
1565,12024 Delivery Fee,EACH,41260,101
2445,Hydrangea q. Snow Queen,5 GAL,41261,101
2482,Amelanchier x. lamarckii,4/5',41262,101
2483,Amelanchier x. lamarckii,5/6',41263,101
2484,Thuja x Green Giant,4/5',41264,101
2485,Malus x Red Jade,1/1.5'',41265,101
250,Acer p. v. d. Tamukeyama,5 GAL,41266,101
2510,Viburnum d. Chicago Lustre,3 GAL,41267,101
2547,Cornus k. Satomi,"2/2.5""",41268,101
2559,Pinus parv. Glauca Brevifolia,4/5',41269,101
2659,Sempervivum arachn. Ruby Heart,QUART,41271,101
2662,Allium x Millenium,2 GAL,41272,101
2663,Amsonia tab. Blue Ice,1 GAL,41273,101
2664,Astilbe x a. Bridal Veil (Brau,1 GAL,41274,101
2665,Astilbe x a. Fanal,2 GAL,41275,101
2670,Delphinium Magic Fountain DK B,2 GAL,41276,101
2672,Digitalis p. Camelot Rose,3 GAL,41277,101
2676,Echinacea Sombrero™ Hot Coral,1 GAL,41278,101
2677,Fern-Matteuccia struthiopter,2 GAL,41279,101
2679,Acer p. v. d. Crimson Queen,20 gal,41280,101
